,SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,TAXON_GROUP,COM_NAME_CODES,SCI_NAME_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE,EXTINCT,ebird_idx,inat_id,preferred_common_name,matched_term,name,photo_url,wikipedia_url
1570,Chaetocercus berlepschi,Esmeraldas Woodstar,esmwoo2,4762,Hummingbirds,ESWO,CHBE,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1609,6176,Esmeraldas Woodstar,Chaetocercus berlepschi,Chaetocercus berlepschi,https://static.inaturalist.org/photos/163625519/medium.jpeg,http://en.wikipedia.org/wiki/Esmeraldas_woodstar
1571,Chaetocercus jourdanii,Rufous-shafted Woodstar,ruswoo1,4763,Hummingbirds,RSWO,CHJO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1610,6177,Rufous-shafted Woodstar,Chaetocercus jourdanii,Chaetocercus jourdanii,https://inaturalist-open-data.s3.amazonaws.com/photos/238203458/medium.jpeg,http://en.wikipedia.org/wiki/Rufous-shafted_woodstar
1572,Philodice bryantae,Magenta-throated Woodstar,matwoo1,4768,Hummingbirds,,PHBR,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1611,979881,Magenta-throated Woodstar,Philodice bryantae,Philodice bryantae,https://inaturalist-open-data.s3.amazonaws.com/photos/164685515/medium.jpg,https://en.wikipedia.org/wiki/Magenta-throated_woodstar
1573,Philodice mitchellii,Purple-throated Woodstar,putwoo1,4769,Hummingbirds,,PHMI,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1612,979878,Purple-throated Woodstar,Philodice mitchellii,Philodice mitchellii,https://inaturalist-open-data.s3.amazonaws.com/photos/237319920/medium.jpeg,https://en.wikipedia.org/wiki/Purple-throated_woodstar
1574,Doricha enicura,Slender Sheartail,sleshe1,4771,Hummingbirds,,DOEN,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1613,6519,Slender Sheartail,Doricha enicura,Doricha enicura,https://inaturalist-open-data.s3.amazonaws.com/photos/77536652/medium.jpg,http://en.wikipedia.org/wiki/Slender_sheartail
1575,Doricha eliza,Mexican Sheartail,mexshe1,4772,Hummingbirds,,DOEL,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1614,6518,Mexican Sheartail,Doricha eliza,Doricha eliza,https://inaturalist-open-data.s3.amazonaws.com/photos/1426401/medium.JPG,http://en.wikipedia.org/wiki/Mexican_sheartail
1576,Calothorax lucifer,Lucifer Hummingbird,luchum,4773,Hummingbirds,LUSH,CALU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1615,6371,Lucifer Hummingbird,Calothorax lucifer,Calothorax lucifer,https://inaturalist-open-data.s3.amazonaws.com/photos/78206120/medium.jpeg,http://en.wikipedia.org/wiki/Lucifer_sheartail
1577,Calothorax pulcher,Beautiful Hummingbird,beahum1,4774,Hummingbirds,BESH BEHU,CAPU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1616,72595,Beautiful Hummingbird,Calothorax pulcher,Calothorax pulcher,https://inaturalist-open-data.s3.amazonaws.com/photos/28842979/medium.jpeg,http://en.wikipedia.org/wiki/Beautiful_sheartail
1578,Archilochus colubris,Ruby-throated Hummingbird,rthhum,4776,Hummingbirds,,ARCO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1617,6432,Ruby-throated Hummingbird,Archilochus colubris,Archilochus colubris,https://inaturalist-open-data.s3.amazonaws.com/photos/221321124/medium.jpg,https://en.wikipedia.org/wiki/Ruby-throated_hummingbird
1579,Archilochus alexandri,Black-chinned Hummingbird,bkchum,4777,Hummingbirds,,ARAL,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1618,6433,Black-chinned Hummingbird,Archilochus alexandri,Archilochus alexandri,https://static.inaturalist.org/photos/79224074/medium.jpg,http://en.wikipedia.org/wiki/Black-chinned_hummingbird
1580,Nesophlox evelynae,Bahama Woodstar,bahwoo,4781,Hummingbirds,BAHU,NEEV,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1619,979880,Bahama Woodstar,Nesophlox evelynae,Nesophlox evelynae,https://inaturalist-open-data.s3.amazonaws.com/photos/698809/medium.JPG,
1581,Nesophlox lyrura,Inagua Woodstar,inawoo2,4782,Hummingbirds,LTHU,NELY,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1620,979879,Inagua Woodstar,Nesophlox lyrura,Nesophlox lyrura,https://static.inaturalist.org/photos/92128549/medium.jpg,
1582,Mellisuga minima,Vervain Hummingbird,verhum1,4783,Hummingbirds,,MEMI,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1621,6422,Vervain Hummingbird,Mellisuga minima,Mellisuga minima,https://inaturalist-open-data.s3.amazonaws.com/photos/59979544/medium.jpg,http://en.wikipedia.org/wiki/Vervain_hummingbird
1583,Mellisuga helenae,Bee Hummingbird,beehum1,4786,Hummingbirds,BEHU,MEHE,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1622,6425,Bee Hummingbird,Mellisuga helenae,Mellisuga helenae,https://inaturalist-open-data.s3.amazonaws.com/photos/23135273/medium.jpg,http://en.wikipedia.org/wiki/Bee_hummingbird
1584,Calypte anna,Anna's Hummingbird,annhum,4787,Hummingbirds,,CAAN,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1623,6317,Anna's Hummingbird,Calypte anna,Calypte anna,https://static.inaturalist.org/photos/67806541/medium.jpg,http://en.wikipedia.org/wiki/Anna's_hummingbird
1585,Calypte costae,Costa's Hummingbird,coshum,4790,Hummingbirds,,CACO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1624,6316,Costa's Hummingbird,Calypte costae,Calypte costae,https://inaturalist-open-data.s3.amazonaws.com/photos/251246157/medium.jpeg,http://en.wikipedia.org/wiki/Costa's_hummingbird
1586,Selasphorus calliope,Calliope Hummingbird,calhum,4795,Hummingbirds,,SECA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1625,199914,Calliope Hummingbird,Selasphorus calliope,Selasphorus calliope,https://inaturalist-open-data.s3.amazonaws.com/photos/13139005/medium.jpg,http://en.wikipedia.org/wiki/Calliope_hummingbird
1587,Selasphorus rufus,Rufous Hummingbird,rufhum,4798,Hummingbirds,,SERU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1626,6363,Rufous Hummingbird,Selasphorus rufus,Selasphorus rufus,https://static.inaturalist.org/photos/69310980/medium.jpg,https://en.wikipedia.org/wiki/Rufous_hummingbird
1588,Selasphorus sasin,Allen's Hummingbird,allhum,4803,Hummingbirds,,SESA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1627,6359,Allen's Hummingbird,Selasphorus sasin,Selasphorus sasin,https://inaturalist-open-data.s3.amazonaws.com/photos/276040/medium.jpg,http://en.wikipedia.org/wiki/Allen's_hummingbird
1589,Selasphorus platycercus,Broad-tailed Hummingbird,brthum,4809,Hummingbirds,,SEPL,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1628,6369,Broad-tailed Hummingbird,Selasphorus platycercus,Selasphorus platycercus,https://inaturalist-open-data.s3.amazonaws.com/photos/86267736/medium.jpg,http://en.wikipedia.org/wiki/Broad-tailed_hummingbird
1590,Selasphorus heloisa,Bumblebee Hummingbird,bumhum,4816,Hummingbirds,,SEHE,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1629,1289684,Bumblebee Hummingbird,Selasphorus heloisa,Selasphorus heloisa,https://static.inaturalist.org/photos/128455137/medium.jpg,https://en.wikipedia.org/wiki/Bumblebee_hummingbird
1591,Selasphorus ellioti,Wine-throated Hummingbird,withum1,4819,Hummingbirds,WTHU,SEEL,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1630,1289683,Wine-throated Hummingbird,Selasphorus ellioti,Selasphorus ellioti,https://inaturalist-open-data.s3.amazonaws.com/photos/62120050/medium.png,
